,e,feat
5330,156,"1.5554912116982118, 8.72416877726579, 4.8, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
50,157,"1.804391827322358, 8.75862053272005, 4.5, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2306,158,"1.5926047376175783, 8.716419668757872, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
51,159,"1.5705731412647097, 8.71583566673176, 4.4, 1.113217334918405, 0, 0, 0, 0, 0, 0, 0, 0, 0"
52,160,"1.5704958390921533, 8.722335455791226, 4.2, 1.4946936128823085, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2311,161,"1.8082816959739665, 8.77172486137854, 4.8, 1.0101156381714038, 0, 0, 0, 0, 0, 0, 0, 0, 0"
55,162,"1.7983270530325512, 8.76795415367484, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2313,163,"1.78355348384712, 8.770559631638312, 4.2, 1.0531071003998702, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2314,164,"1.7805631675348126, 8.773825963187301, 5.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
56,165,"1.8481400322316839, 8.769236234942445, 4.5, 1.0505781908570193, 0, 0, 0, 0, 0, 0, 0, 0, 0"
57,166,"1.1740284246662895, 8.699144969374077, 4.5, 2.997060412839079, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5339,167,"1.5791950374903614, 8.721735063503926, 4.0, 1.025678158435102, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12497,168,"1.1807777844513403, 8.699873241858224, 3.5, 1.011088295687885, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2316,169,"1.7934517937581225, 8.768910836200522, 3.9, 1.0373500486328757, 0, 0, 0, 0, 0, 0, 0, 0, 0"
58,170,"1.8319505555227682, 8.772997054873514, 3.9, 1.104074354263482, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12500,171,"1.1645156182509444, 8.702328177548232, 3.9, 1.018675024316438, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5342,172,"1.7975940608956442, 8.772033015745244, 4.2, 1.0317086350372853, 0, 0, 0, 0, 0, 0, 0, 0, 0"
59,173,"1.745555118450513, 8.744048711471107, 4.5, 1.0112828271911813, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5344,174,"1.7903540868076009, 8.773850501821018, 4.4, 1.0015562520263699, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5345,175,"1.8140414501000386, 8.784027956264675, 4.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8746,176,"1.5633613469467047, 8.722340150301182, 5.0, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2318,177,"1.7081813736951297, 8.790304902609819, 4.6, 1.0013617205230736, 0, 0, 0, 0, 0, 0, 0, 0, 0"
60,178,"1.5533155637894964, 8.723580735342665, 4.1, 1.004279693072517, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2320,179,"1.5595516965304048, 8.725160042058045, 3.9, 1.0200367448395116, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12507,180,"1.2686016150975847, 8.693263590043841, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
61,181,"1.803713418578214, 8.772519287176298, 3.4, 1.0173133037933644, 0, 0, 0, 0, 0, 0, 0, 0, 0"
62,182,"1.815627019456299, 8.774767876398126, 4.1, 1.0389063006592456, 0, 0, 0, 0, 0, 0, 0, 0, 0"
63,183,"1.7115082566682034, 8.734821231329079, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2323,184,"1.2638596464005296, 8.692246078389813, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5350,185,"1.7352790988842974, 8.744406903204226, 3.8, 1.0029179725494435, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5351,186,"1.5687022219134539, 8.725530895875787, 4.1, 1.012644547714255, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8752,187,"1.5700321851147745, 8.719700121243184, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
64,188,"1.2345417635812028, 8.710429143629753, 4.7, 1.019647681832919, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5352,189,"1.7576851707136925, 8.755882012469101, 4.5, 1.000778126013185, 0, 0, 0, 0, 0, 0, 0, 0, 0"
