,e,feat
15402,69,"3.3258394897941344, 6.994619463952176, 5.0, 1.000561412263739"
15403,70,"5.608545498137744, 5.474984717947564, 3.9, 1.0129124820659972"
15404,70,"7.15991112958136, 6.070191699481256, 4.3, 1.0432287443079034"
15405,70,"5.578515480395765, 7.968835786955424, 0.0, 1.0"
15406,70,"2.7676752073906528, 6.662308204452074, 0.0, 1.0"
15407,70,"6.062776273516192, 5.345824872449612, 4.5, 1.001122824527478"
7033,70,"5.608545498137744, 5.474984717947564, 3.9, 1.0129124820659972"
7034,70,"6.691803526045646, 6.80683131584783, 3.7, 1.0072983594286071"
7036,70,"5.926431660885669, 5.079992380094836, 5.0, 1.001122824527478"
7035,70,"5.714609209916318, 5.5037130686005185, 4.5, 1.001122824527478"
11148,70,"3.4723114940139226, 6.27955186454642, 4.2, 1.0460358056265984"
11149,70,"6.135101961223029, 4.918511709335917, 4.2, 1.0202108414946043"
11150,70,"4.549275578217191, 7.9776281110184755, 0.0, 1.0"
11151,70,"3.903449514888905, 6.505356144720281, 0.0, 1.0"
11152,70,"5.608545498137744, 5.474984717947564, 3.9, 1.0129124820659972"
11153,70,"6.5377555424131515, 7.032422205973262, 0.0, 1.0"
11154,70,"5.7015828524845915, 5.607811438415183, 4.6, 1.007859771692346"
11155,70,"5.058347329891433, 7.121983889732519, 4.2, 1.100492795209282"
15408,71,"5.298466633633211, 5.8760378237266195, 4.3, 1.01684236791217"
3251,71,"5.298466633633211, 5.8760378237266195, 4.3, 1.01684236791217"
11156,71,"5.298466633633211, 5.8760378237266195, 4.3, 1.01684236791217"
7037,71,"5.298466633633211, 5.8760378237266195, 4.3, 1.01684236791217"
18,72,"6.125205888464507, 3.5318892759098617, 4.2, 1.0903873744619799"
19,73,"5.4859591771493115, 6.940868064175902, 0.0, 1.0"
11157,73,"5.4859591771493115, 6.940868064175902, 0.0, 1.0"
7038,73,"5.4859591771493115, 6.940868064175902, 0.0, 1.0"
15409,74,"3.7384812109392556, 6.043777935904927, 0.0, 1.0"
21,75,"6.606438821667723, 6.731815311594346, 4.2, 1.0718607697585927"
3256,75,"5.20668139315552, 6.334655552215281, 4.6, 1.2234420809681241"
3255,75,"2.587320173265198, 6.800973309347, 5.0, 1.002245649054956"
3254,75,"2.049011332576754, 7.15127228706433, 3.7, 1.005052710373651"
22,75,"5.9139841759505885, 5.186142891753889, 4.7, 1.001684236791217"
23,75,"6.717269312532835, 6.166056156738705, 3.5, 1.002245649054956"
3253,75,"4.400771190639716, 6.5066152277645415, 4.3, 1.1156509263302352"
3252,75,"5.223024471332792, 6.248457418874295, 4.4, 1.111721040484062"
15412,75,"4.6706143886960945, 5.55647437125549, 5.0, 1.000561412263739"
15413,75,"6.090214599683463, 3.56332465510809, 5.0, 1.000561412263739"
15414,75,"5.473805156402136, 5.363204306391026, 4.2, 1.0494042792090326"
24,75,"4.838509278646882, 6.51552364909503, 5.0, 1.000561412263739"
25,75,"1.970670204433759, 7.0504148297088705, 3.9, 1.0308776745056454"
20,75,"5.20668139315552, 6.334655552215281, 4.6, 1.2234420809681241"
15410,75,"5.395011748157799, 6.4122028039396355, 5.0, 1.000561412263739"
15411,75,"4.901387721177002, 7.993075588314468, 4.0, 1.000561412263739"
15416,75,"7.15991112958136, 6.070191699481256, 4.3, 1.0432287443079034"
15415,75,"5.20668139315552, 6.334655552215281, 4.6, 1.2234420809681241"
3258,75,"5.9270761312595255, 5.520592957255985, 4.5, 1.1448443640446635"
7041,75,"6.499643175679012, 6.131065094320775, 4.5, 1.008421183956085"
7040,75,"5.20668139315552, 6.334655552215281, 4.6, 1.2234420809681241"
11158,75,"4.231969438805606, 5.6465298771956896, 4.7, 1.003929885846173"
11159,75,"5.20668139315552, 6.334655552215281, 4.6, 1.2234420809681241"
7044,75,"4.975726227962127, 6.653674492149321, 3.5, 1.001122824527478"
11160,75,"5.957447948467916, 5.437502469792207, 0.0, 1.0"
7039,75,"4.354372776241462, 5.576371971285198, 4.5, 1.099931382945543"
7043,75,"4.3105672042581205, 6.175546699580764, 4.7, 1.4390243902439024"
3257,75,"5.183108738391468, 6.71392897408964, 4.3, 1.0162809556484311"
7042,75,"5.238435369147794, 6.239785280010892, 4.8, 1.0134738943297361"
15417,77,"6.2288562888606975, 4.935612346317384, 0.0, 1.0"
7045,77,"6.2288562888606975, 4.935612346317384, 0.0, 1.0"
11161,77,"6.2288562888606975, 4.935612346317384, 0.0, 1.0"
11162,78,"3.4949335549764555, 7.3794492029485355, 0.0, 1.0"
15418,78,"3.4949335549764555, 7.3794492029485355, 0.0, 1.0"
7046,79,"6.510519764077742, 4.805564601997503, 0.0, 1.0"
7047,79,"3.9797156785958236, 7.309615061249133, 0.0, 1.0"
15419,79,"6.510519764077742, 4.805564601997503, 0.0, 1.0"
15420,80,"5.884495052986665, 8.066804711586656, 4.2, 1.0145967188572143"
26,80,"5.884495052986665, 8.066804711586656, 4.2, 1.0145967188572143"
7048,80,"5.884495052986665, 8.066804711586656, 4.2, 1.0145967188572143"
15421,81,"4.726779981778293, 6.19799271639522, 4.2, 1.0230179028132993"
11164,81,"7.115746495532392, 6.2258274451214675, 0.0, 1.0"
11163,81,"4.726779981778293, 6.19799271639522, 4.2, 1.0230179028132993"
7051,81,"4.726779981778293, 6.19799271639522, 4.2, 1.0230179028132993"
3259,81,"4.726779981778293, 6.19799271639522, 4.2, 1.0230179028132993"
7050,81,"5.883646883941026, 5.048458072943276, 0.0, 1.0"
7049,81,"4.828358870258683, 6.825575301478011, 0.0, 1.0"
15422,82,"6.609099563639802, 5.541205127792864, 0.0, 1.0"
7052,82,"6.609099563639802, 5.541205127792864, 0.0, 1.0"
3260,82,"6.609099563639802, 5.541205127792864, 0.0, 1.0"
7053,83,"5.550087431868633, 6.610501842703343, 4.0, 1.001684236791217"
27,83,"5.550087431868633, 6.610501842703343, 4.0, 1.001684236791217"
11165,83,"5.550087431868633, 6.610501842703343, 4.0, 1.001684236791217"
15423,83,"5.550087431868633, 6.610501842703343, 4.0, 1.001684236791217"
11166,84,"3.401458881447354, 6.397688192716942, 4.5, 1.001122824527478"
3261,84,"3.401458881447354, 6.397688192716942, 4.5, 1.001122824527478"
11168,85,"4.673151990793201, 6.481905314229607, 4.3, 1.0830890150333727"
11175,85,"5.5096607259881125, 7.5137459437492, 4.0, 1.002807061318695"
11172,85,"5.393744673369042, 5.751743434849459, 4.5, 1.001122824527478"
11171,85,"5.237599859341628, 5.711248380838242, 4.5, 1.0067369471648682"
11170,85,"6.690926586001353, 5.480417579524328, 5.0, 1.001122824527478"
11169,85,"5.043165449227217, 5.1821481646411485, 2.0, 1.001684236791217"
11174,85,"5.101576331058254, 5.731231009852536, 4.5, 1.20323123947352"
11173,85,"5.319393507344671, 5.797460413148201, 5.0, 1.001684236791217"
